iter	Passed	Remaining
441	1352	1707
442	1355	1704
443	1358	1701
444	1361	1698
445	1364	1694
446	1367	1691
447	1370	1688
448	1372	1684
449	1375	1681
450	1378	1678
451	1381	1674
452	1384	1671
453	1387	1668
454	1389	1664
455	1392	1661
456	1395	1658
457	1398	1654
458	1401	1651
459	1403	1647
460	1406	1644
461	1409	1641
462	1412	1637
463	1414	1634
464	1417	1631
465	1420	1627
466	1422	1623
467	1426	16468468	1429	16469469	1432	16470470	1435	16471471	1438	16472472	1441	16473473	1444	16474474	1447	15475475	1450	15476476	1453	15477477	1456	15478478	1459	15479479	1462	15480480	1465	15481481	1467	15482482	1470	15483483	1473	15484484	1476	15485485	1479	15486486	1482	15487487	1485	15488488	1488	15489489	1491	15490490	1494	15491491	1497	15492492	1500	15493493	1503	15494494	1506	15495495	1509	15496496	1512	15497497	1514	15498498	1517	15499499	1520	15500500	1523	15501501	1526	15502502	1529	15503503	1532	15504504	1535	15505505	1538	15506506	1540	14507507	1543	14508508	1546	14509509	1549	14510510	1552	14511511	1555	14512512	1558	14513513	1561	14514514	1564	14515515	1567	14516516	1570	14517	1569	1460
518	1573	1458
519	1576	1455
520	1580	1452
521	1583	1449
522	1587	1447
523	1590	1445
524	1594	1442
525	1597	1439
526	1603	1439
527	1609	1438
528	1612	1435
529	1615	1432
530	1619	1430
531	1622	1427
532	1626	1424
533	1629	1421
534	1632	1418
535	1635	1416
536	1638	1413
537	1642	1410
538	1646	1408
539	1650	1405
540	1653	1403
541	1657	1400
542	1660	1397
543	1664	1394
544	1667	1392
545	1670	1388
546	1673	1385
547	1676	1382
548	1680	1380
549	1683	1377
550	1687	1374
551	1691	1373
552	1695	1370
553	1699	1368
554	1703	1365
555	1706	1362
556	1713	1362
557	1717	1360
558	1720	1357
559	1723	1354
560	1727	1351
561	1730	1348
562	1733	1345
563	1736	1342
564	1739	1339
565	1742	1336
566	1746	1333
567	1749	1330
568	1752	1327
569	1755	1324
570	1758	1321
571	1763	1319
572	1768	1317
573	1771	1314
574	1774	1311
575	1777	1308
576	1780	1305
577	1783	1302
