iter	Passed	Remaining
375	846	1404
376	847	1400
377	849	1397
378	850	1393
379	851	1390
380	853	1386
381	855	1383
382	856	1379
383	858	1376
384	859	1373
385	861	1370
386	863	1367
387	864	1364
388	866	1360
389	868	1357
390	869	1354
391	871	1351
392	872	1347
393	874	1344
394	875	1341
395	877	1337
396	878	1334
397	880	1331
398	881	1327
399	883	1324
400	884	1321
401	886	1318
402	887	1315
403	889	1311
404	890	1308
405	892	1305
406	893	1301
407	894	1298
408	896	1295
409	897	1292
410	899	1288
411	900	1285
412	902	1282
413	903	1279
414	905	1275
415	906	1272
416	908	1269
417	909	1266
418	911	1263
419	912	1260
420	914	1257
421	915	1253
422	916	1250
423	918	1247
424	920	1244
425	921	1241
426	923	1238
427	924	1235
428	925	1232
429	927	1229
430	928	1226
431	930	1223
432	931	1220
433	933	1217
434	934	1214
435	936	1211
436	938	1208
437	939	1205
438	941	1202
439	942	1199
440	943	1196
441	945	1193
442	946	1190
443	948	1187
444	949	1184
445	951	1181
446	953	1178
447	954	1176
448	955	1173
449	957	1170
450	958	1167
451	960	1164
452	961	1161
453	963	1158
454	964	1155
